Address,City,original_price,lot_size_m2,living_space_m2,build_year,build_type,house_type,roof_type,rooms,toilet,floors,energy_label,position,garden,neighborhood_price_per_m2,price_cleaned,living_space_cleaned,lot_size_cleaned,bedrooms,total_rooms,house_type_cleaned,garden_type,price_per_sqm
Prinsenstraat 7,Rijssen,€ 359.000,283 m²,139 m²,1952.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.285,359000.0,139.0,283.0,4.0,6,Eengezinswoning,Back Garden,2582.73381294964
Hoenderhof 4,Delfzijl,€ 165.000,153 m²,95 m²,1981.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,,Achtertuin en voortuin,1.165,165000.0,95.0,153.0,3.0,4,Eengezinswoning,Back Garden,1736.842105263158
De Nachtegaal 22 G,Surhuisterveen,€ 375.000,6.167 m²,128 m²,2022.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A+++,"Aan rustige weg, beschutte ligging, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",5.580,375000.0,128.0,6.167,2.0,4,Eengezinswoning,Back Garden,2929.6875
Eline Verelaan 17,Oosterhout (NB),€ 450.000,236 m²,142 m²,1999.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,,Achtertuin en voortuin,2.670,450000.0,142.0,236.0,4.0,5,Eengezinswoning,Back Garden,3169.0140845070423
Watermunt 86,Tegelen,€ 615.000,178 m²,191 m²,2001.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,A,"Aan water, in woonwijk en vrij uitzicht",Patio/atrium en voortuin,1.250,615000.0,191.0,178.0,5.0,6,Eengezinswoning,Other Garden,3219.895287958115
Napoleonshoed 41,Oosterhout (NB),€ 420.000,134 m²,118 m²,2018.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.415,420000.0,118.0,134.0,2.0,4,Eengezinswoning,Back Garden,3559.322033898305
Bovendonksestraat 47,Hoeven,€ 425.000,305 m²,116 m²,1967.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,"Achtertuin, voortuin en zijtuin",4.765,425000.0,116.0,305.0,3.0,4,Eengezinswoning,Back Garden,3663.793103448276
Kleine Hassel 6,Lage Mierde,€ 300.000,129 m²,90 m²,2005.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin,1.395,300000.0,90.0,129.0,3.0,4,Eengezinswoning,Back Garden,3333.3333333333335
Rosmolen 100,Alphen aan den Rijn,€ 650.000,233 m²,244 m²,1989.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,10 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,Beschutte ligging en in woonwijk,Achtertuin en voortuin,2.220,650000.0,244.0,233.0,4.0,10,Eengezinswoning,Back Garden,2663.934426229508
Eisenhowerstraat 1,Oss,€ 289.000,226 m²,99 m²,1960.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In woonwijk,Achtertuin en voortuin,555,289000.0,99.0,226.0,4.0,6,Eengezinswoning,Back Garden,2919.191919191919
C.M. van Reesstraat 8,Sliedrecht,€ 299.000,119 m²,94 m²,1925.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,G,In woonwijk,Achtertuin en zijtuin,2.040,299000.0,94.0,119.0,4.0,5,Eengezinswoning,Back Garden,3180.851063829787
Rietmeent 75,Almere,€ 385.000,127 m²,123 m²,1980.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.245,385000.0,123.0,127.0,4.0,5,Eengezinswoning,Back Garden,3130.081300813008
't Muurke 2,Wanroij,€ 425.000,1.860 m²,125 m²,1965.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met overig en pannen,7 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,G,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Achtertuin en tuin rondom,2.330,425000.0,125.0,1.86,4.0,7,Eengezinswoning,Back Garden,3400.0
Osingastate 15,Leeuwarden,€ 267.500,140 m²,119 m²,1979.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin,4.055,267500.0,119.0,140.0,5.0,6,Eengezinswoning,Back Garden,2247.8991596638657
Kamp 13 33,Lelystad,€ 315.000,200 m²,110 m²,1981.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan park, aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",1.915,315000.0,110.0,200.0,4.0,5,Eengezinswoning,Back Garden,2863.6363636363635
Meester A Datemalaan 8,Kesteren,€ 545.000,258 m²,117 m²,2020.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.225,545000.0,117.0,258.0,3.0,5,Eengezinswoning,Back Garden,4658.119658119658
Prins Mauritslaan 156 E,Den Haag,€ 945.000,228 m²,171 m²,1998.0,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.775,945000.0,171.0,228.0,3.0,5,Herenhuis,Back Garden,5526.315789473684
Bromhaar 11,Nieuw Heeten,€ 325.000,268 m²,122 m²,1976.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin,710,325000.0,122.0,268.0,4.0,5,Eengezinswoning,Back Garden,2663.934426229508
Waterhoefweg 13,Oisterwijk,€ 462.500,414 m²,139 m²,1970.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin en zijtuin,€ 3.802,462500.0,139.0,414.0,4.0,6,Eengezinswoning,Back Garden,3327.338129496403
Prinsenlaan 32,Emmen,€ 425.000,1.037 m²,152 m²,1949.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,In centrum,"Achtertuin, voortuin en zijtuin",1.475,425000.0,152.0,1.037,5.0,7,Eengezinswoning,Back Garden,2796.0526315789475
Heerstraat 32,Maasbommel,€ 395.000,1.275 m²,135 m²,1926.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer,2 woonlagen,C,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Tuin rondom,605,395000.0,135.0,1.275,4.0,8,Eengezinswoning,Other Garden,2925.925925925926
